Gene,Non-unique Gene name,Annotation,628C_scaffolds.fasta_PROKKA_09032023,629A2A_scaffolds.fasta_PROKKA_09032023,630A_scaffolds.fasta_PROKKA_09032023,631B_scaffolds.fasta_PROKKA_09032023,632B_scaffolds.fasta_PROKKA_09032023,633A_scaffolds.fasta_PROKKA_09032023,638A1_scaffolds.fasta_PROKKA_09032023,643E_scaffolds.fasta_PROKKA_09032023,649D1_scaffolds.fasta_PROKKA_09032023
group_3163,,IS3 family transposase ISThsp4,AGBKPNDM_05743,OPLBPFOJ_05788,CBFJPJAN_05792,PFCICLLP_05792,4_refound_29,MFFOPBKH_05654,POFILHDL_05653,DHNKKDKB_05652,PJIANKBB_05709
group_3162,,hypothetical protein,AGBKPNDM_05744,OPLBPFOJ_05787,CBFJPJAN_05791,PFCICLLP_05791,IBOIIBEG_06306,MFFOPBKH_05653,POFILHDL_05654,DHNKKDKB_05651,PJIANKBB_05708
group_3161,,hypothetical protein,AGBKPNDM_05721,OPLBPFOJ_05474,CBFJPJAN_05732,PFCICLLP_05532,IBOIIBEG_02578,MFFOPBKH_05392,POFILHDL_05359,DHNKKDKB_05373,PJIANKBB_05690
group_3160,,hypothetical protein,AGBKPNDM_05674,OPLBPFOJ_05491,CBFJPJAN_05700,PFCICLLP_05515,IBOIIBEG_02600,MFFOPBKH_05375,POFILHDL_05376,DHNKKDKB_05390,PJIANKBB_05669
group_3159,,hypothetical protein,AGBKPNDM_05684,OPLBPFOJ_05481,CBFJPJAN_05690,PFCICLLP_05525,IBOIIBEG_02585,MFFOPBKH_05385,POFILHDL_05366,DHNKKDKB_05380,PJIANKBB_05659
acnB_2,acnB_2,Aconitate hydratase B,AGBKPNDM_05670,OPLBPFOJ_05495,CBFJPJAN_05704,PFCICLLP_05511,IBOIIBEG_02604,MFFOPBKH_05371,POFILHDL_05380,DHNKKDKB_05394,PJIANKBB_05673
group_3158,,hypothetical protein,AGBKPNDM_05685,OPLBPFOJ_05480,CBFJPJAN_05689,PFCICLLP_05526,IBOIIBEG_02584,MFFOPBKH_05386,POFILHDL_05365,DHNKKDKB_05379,PJIANKBB_05658
tag_2,tag_2,DNA-3-methyladenine glycosylase 1,AGBKPNDM_05681,OPLBPFOJ_05484,CBFJPJAN_05693,PFCICLLP_05522,IBOIIBEG_02588,MFFOPBKH_05382,POFILHDL_05369,DHNKKDKB_05383,PJIANKBB_05662
group_3157,,hypothetical protein,AGBKPNDM_05717,OPLBPFOJ_05478,CBFJPJAN_05728,PFCICLLP_05528,IBOIIBEG_02582,MFFOPBKH_05388,POFILHDL_05363,DHNKKDKB_05377,PJIANKBB_05686
group_3156,,2-ketogluconate reductase,AGBKPNDM_05677,OPLBPFOJ_05488,CBFJPJAN_05697,PFCICLLP_05518,IBOIIBEG_02592,MFFOPBKH_05378,POFILHDL_05373,DHNKKDKB_05387,PJIANKBB_05666
group_3155,,hypothetical protein,AGBKPNDM_05672,OPLBPFOJ_05493,CBFJPJAN_05702,PFCICLLP_05513,IBOIIBEG_02602,MFFOPBKH_05373,POFILHDL_05378,DHNKKDKB_05392,PJIANKBB_05671
sttH_2,sttH_2,Streptothricin hydrolase,AGBKPNDM_05676,OPLBPFOJ_05489,CBFJPJAN_05698,PFCICLLP_05517,IBOIIBEG_02593,MFFOPBKH_05377,POFILHDL_05374,DHNKKDKB_05388,PJIANKBB_05667
group_3154,,hypothetical protein,AGBKPNDM_05722,OPLBPFOJ_05473,CBFJPJAN_05733,PFCICLLP_05533,IBOIIBEG_02577,MFFOPBKH_05393,POFILHDL_05358,DHNKKDKB_05372,PJIANKBB_05691
group_3151,,hypothetical protein,AGBKPNDM_05723,OPLBPFOJ_05472,CBFJPJAN_05734,PFCICLLP_05534,IBOIIBEG_02576,MFFOPBKH_05394,POFILHDL_05357,DHNKKDKB_05371,PJIANKBB_05692
group_3150,,hypothetical protein,AGBKPNDM_05679,OPLBPFOJ_05486,CBFJPJAN_05695,PFCICLLP_05520,IBOIIBEG_02590,MFFOPBKH_05380,POFILHDL_05371,DHNKKDKB_05385,PJIANKBB_05664
group_3149,,hypothetical protein,AGBKPNDM_05669,OPLBPFOJ_05496,CBFJPJAN_05705,PFCICLLP_05510,IBOIIBEG_02605,MFFOPBKH_05370,POFILHDL_05381,DHNKKDKB_05395,PJIANKBB_05674
group_3148,,hypothetical protein,AGBKPNDM_05718,OPLBPFOJ_05477,CBFJPJAN_05729,PFCICLLP_05529,IBOIIBEG_02581,MFFOPBKH_05389,POFILHDL_05362,DHNKKDKB_05376,PJIANKBB_05687
group_3147,,hypothetical protein,AGBKPNDM_05719,OPLBPFOJ_05476,CBFJPJAN_05730,PFCICLLP_05530,IBOIIBEG_02580,MFFOPBKH_05390,POFILHDL_05361,DHNKKDKB_05375,PJIANKBB_05688
nanR_3,nanR_3,HTH-type transcriptional repressor NanR,AGBKPNDM_05683,OPLBPFOJ_05482,CBFJPJAN_05691,PFCICLLP_05524,IBOIIBEG_02586,MFFOPBKH_05384,POFILHDL_05367,DHNKKDKB_05381,PJIANKBB_05660
fabG_7,fabG_7,3-oxoacyl-[acyl-carrier-protein] reductase FabG,AGBKPNDM_05680,OPLBPFOJ_05485,CBFJPJAN_05694,PFCICLLP_05521,IBOIIBEG_02589,MFFOPBKH_05381,POFILHDL_05370,DHNKKDKB_05384,PJIANKBB_05663
gdhB,gdhB,NAD-specific glutamate dehydrogenase,AGBKPNDM_05716,OPLBPFOJ_05479,CBFJPJAN_05727,PFCICLLP_05527,IBOIIBEG_02583,MFFOPBKH_05387,POFILHDL_05364,DHNKKDKB_05378,PJIANKBB_05685
group_3145,,putative sulfate transporter,AGBKPNDM_05671,OPLBPFOJ_05494,CBFJPJAN_05703,PFCICLLP_05512,IBOIIBEG_02603,MFFOPBKH_05372,POFILHDL_05379,DHNKKDKB_05393,PJIANKBB_05672
dctA_2,dctA_2,Aerobic C4-dicarboxylate transport protein,AGBKPNDM_05682,OPLBPFOJ_05483,CBFJPJAN_05692,PFCICLLP_05523,IBOIIBEG_02587,MFFOPBKH_05383,POFILHDL_05368,DHNKKDKB_05382,PJIANKBB_05661
group_3144,,hypothetical protein,AGBKPNDM_05720,OPLBPFOJ_05475,CBFJPJAN_05731,PFCICLLP_05531,IBOIIBEG_02579,MFFOPBKH_05391,POFILHDL_05360,DHNKKDKB_05374,PJIANKBB_05689
sdaC_2,sdaC_2,Serine transporter,AGBKPNDM_05673,OPLBPFOJ_05492,CBFJPJAN_05701,PFCICLLP_05514,IBOIIBEG_02601,MFFOPBKH_05374,POFILHDL_05377,DHNKKDKB_05391,PJIANKBB_05670
group_3141,,hypothetical protein,AGBKPNDM_05678,OPLBPFOJ_05487,CBFJPJAN_05696,PFCICLLP_05519,IBOIIBEG_02591,MFFOPBKH_05379,POFILHDL_05372,DHNKKDKB_05386,PJIANKBB_05665
group_3140,,hypothetical protein,AGBKPNDM_05675,OPLBPFOJ_05490,CBFJPJAN_05699,PFCICLLP_05516,IBOIIBEG_02599,MFFOPBKH_05376,POFILHDL_05375,DHNKKDKB_05389,PJIANKBB_05668
group_3139,,hypothetical protein,AGBKPNDM_05660,OPLBPFOJ_05755,CBFJPJAN_05680,PFCICLLP_05692,IBOIIBEG_06229,MFFOPBKH_05626,POFILHDL_05614,DHNKKDKB_05621,PJIANKBB_05683
group_3138,,hypothetical protein,AGBKPNDM_05661,OPLBPFOJ_05754,CBFJPJAN_05681,PFCICLLP_05691,IBOIIBEG_06230,MFFOPBKH_05625,POFILHDL_05613,DHNKKDKB_05622,PJIANKBB_05682
mcpA,mcpA,Methyl-accepting chemotaxis protein McpA,AGBKPNDM_05668,OPLBPFOJ_05747,CBFJPJAN_05688,PFCICLLP_05684,IBOIIBEG_06237,MFFOPBKH_05618,POFILHDL_05606,DHNKKDKB_05629,PJIANKBB_05675
lgrD_3,lgrD_3,Linear gramicidin synthase subunit D,AGBKPNDM_05666,OPLBPFOJ_05749,CBFJPJAN_05686,PFCICLLP_05686,IBOIIBEG_06235,MFFOPBKH_05620,POFILHDL_05608,DHNKKDKB_05627,PJIANKBB_05677
group_3137,,hypothetical protein,AGBKPNDM_05662,OPLBPFOJ_05753,CBFJPJAN_05682,PFCICLLP_05690,IBOIIBEG_06231,MFFOPBKH_05624,POFILHDL_05612,DHNKKDKB_05623,PJIANKBB_05681
group_3136,,hypothetical protein,AGBKPNDM_05667,OPLBPFOJ_05748,CBFJPJAN_05687,PFCICLLP_05685,IBOIIBEG_06236,MFFOPBKH_05619,POFILHDL_05607,DHNKKDKB_05628,PJIANKBB_05676
petE,petE;,Plastocyanin;hypothetical protein,AGBKPNDM_05659,OPLBPFOJ_05756,CBFJPJAN_05679,PFCICLLP_05693,IBOIIBEG_06228,MFFOPBKH_05627,POFILHDL_05615,DHNKKDKB_05620,PJIANKBB_05684
group_3135,,hypothetical protein,AGBKPNDM_05665,OPLBPFOJ_05750,CBFJPJAN_05685,PFCICLLP_05687,IBOIIBEG_06234,MFFOPBKH_05621,POFILHDL_05609,DHNKKDKB_05626,PJIANKBB_05678
group_3134,,hypothetical protein,AGBKPNDM_05664,OPLBPFOJ_05751,CBFJPJAN_05684,PFCICLLP_05688,IBOIIBEG_06233,MFFOPBKH_05622,POFILHDL_05610,DHNKKDKB_05625,PJIANKBB_05679
group_3133,,hypothetical protein,AGBKPNDM_05663,OPLBPFOJ_05752,CBFJPJAN_05683,PFCICLLP_05689,IBOIIBEG_06232,MFFOPBKH_05623,POFILHDL_05611,DHNKKDKB_05624,PJIANKBB_05680
group_3132,,hypothetical protein,AGBKPNDM_05647,OPLBPFOJ_05589,CBFJPJAN_04672,PFCICLLP_05648,IBOIIBEG_06131,MFFOPBKH_05515,POFILHDL_05523,DHNKKDKB_05520,PJIANKBB_00014
trpF,trpF,N-(5'-phosphoribosyl)anthranilate isomerase,AGBKPNDM_05649,OPLBPFOJ_05587,CBFJPJAN_04670,PFCICLLP_05650,IBOIIBEG_06129,MFFOPBKH_05513,POFILHDL_05521,DHNKKDKB_05518,PJIANKBB_00016
cmpR_5,cmpR_5,HTH-type transcriptional activator CmpR,AGBKPNDM_05640,OPLBPFOJ_05596,CBFJPJAN_04679,PFCICLLP_05641,IBOIIBEG_06138,MFFOPBKH_05522,POFILHDL_05530,DHNKKDKB_05527,PJIANKBB_00007
ycgJ,ycgJ,putative methyltransferase YcgJ,AGBKPNDM_05643,OPLBPFOJ_05593,CBFJPJAN_04676,PFCICLLP_05644,IBOIIBEG_06135,MFFOPBKH_05519,POFILHDL_05527,DHNKKDKB_05524,PJIANKBB_00010
group_3131,,hypothetical protein,AGBKPNDM_05637,OPLBPFOJ_05599,CBFJPJAN_04682,PFCICLLP_05638,IBOIIBEG_06141,MFFOPBKH_05525,POFILHDL_05533,DHNKKDKB_05530,PJIANKBB_00004
leuC_2,leuC_2,3-isopropylmalate dehydratase large subunit,AGBKPNDM_05641,OPLBPFOJ_05595,CBFJPJAN_04678,PFCICLLP_05642,IBOIIBEG_06137,MFFOPBKH_05521,POFILHDL_05529,DHNKKDKB_05526,PJIANKBB_00008
gdhI_2,gdhI_2,Glucose 1-dehydrogenase 1,AGBKPNDM_05656,OPLBPFOJ_05580,CBFJPJAN_04663,PFCICLLP_05657,IBOIIBEG_06122,MFFOPBKH_05506,POFILHDL_05514,DHNKKDKB_05511,PJIANKBB_00023
truA,truA,tRNA pseudouridine synthase A,AGBKPNDM_05648,OPLBPFOJ_05588,CBFJPJAN_04671,PFCICLLP_05649,IBOIIBEG_06130,MFFOPBKH_05514,POFILHDL_05522,DHNKKDKB_05519,PJIANKBB_00015
metZ_2,metZ_2,O-succinylhomoserine sulfhydrylase,AGBKPNDM_05655,OPLBPFOJ_05581,CBFJPJAN_04664,PFCICLLP_05656,IBOIIBEG_06123,MFFOPBKH_05507,POFILHDL_05515,DHNKKDKB_05512,PJIANKBB_00022
group_3130,,hypothetical protein,AGBKPNDM_05653,OPLBPFOJ_05583,CBFJPJAN_04666,PFCICLLP_05654,IBOIIBEG_06125,MFFOPBKH_05509,POFILHDL_05517,DHNKKDKB_05514,PJIANKBB_00020
usg,usg,USG-1 protein,AGBKPNDM_05646,OPLBPFOJ_05590,CBFJPJAN_04673,PFCICLLP_05647,IBOIIBEG_06132,MFFOPBKH_05516,POFILHDL_05524,DHNKKDKB_05521,PJIANKBB_00013
dedD,dedD,Cell division protein DedD,AGBKPNDM_05652,OPLBPFOJ_05584,CBFJPJAN_04667,PFCICLLP_05653,IBOIIBEG_06126,MFFOPBKH_05510,POFILHDL_05518,DHNKKDKB_05515,PJIANKBB_00019
dusC,dusC,tRNA-dihydrouridine(16) synthase,AGBKPNDM_05638,OPLBPFOJ_05598,CBFJPJAN_04681,PFCICLLP_05639,IBOIIBEG_06140,MFFOPBKH_05524,POFILHDL_05532,DHNKKDKB_05529,PJIANKBB_00005
folC,folC,Dihydrofolate synthase/folylpolyglutamate synthase,AGBKPNDM_05651,OPLBPFOJ_05585,CBFJPJAN_04668,PFCICLLP_05652,IBOIIBEG_06127,MFFOPBKH_05511,POFILHDL_05519,DHNKKDKB_05516,PJIANKBB_00018
group_3129,,hypothetical protein,AGBKPNDM_05635,OPLBPFOJ_05601,CBFJPJAN_04684,PFCICLLP_05636,IBOIIBEG_06143,MFFOPBKH_05527,POFILHDL_05535,DHNKKDKB_05532,PJIANKBB_00002
leuD1_2,leuD1_2,3-isopropylmalate dehydratase small subunit 1,AGBKPNDM_05642,OPLBPFOJ_05594,CBFJPJAN_04677,PFCICLLP_05643,IBOIIBEG_06136,MFFOPBKH_05520,POFILHDL_05528,DHNKKDKB_05525,PJIANKBB_00009
group_3128,rutD_2,Putative aminoacrylate hydrolase RutD,AGBKPNDM_05636,OPLBPFOJ_05600,CBFJPJAN_04683,PFCICLLP_05637,IBOIIBEG_06142,MFFOPBKH_05526,POFILHDL_05534,DHNKKDKB_05531,PJIANKBB_00003
asd,asd,Aspartate-semialdehyde dehydrogenase,AGBKPNDM_05645,OPLBPFOJ_05591,CBFJPJAN_04674,PFCICLLP_05646,IBOIIBEG_06133,MFFOPBKH_05517,POFILHDL_05525,DHNKKDKB_05522,PJIANKBB_00012
purF,purF,Amidophosphoribosyltransferase,AGBKPNDM_05654,OPLBPFOJ_05582,CBFJPJAN_04665,PFCICLLP_05655,IBOIIBEG_06124,MFFOPBKH_05508,POFILHDL_05516,DHNKKDKB_05513,PJIANKBB_00021
