group_1724	sp|P0A0Q7.1|	6.17e-48	51.773	RecName: Full=Protein VdlD [Helicobacter pylori 26695]	85962;85963	N/A;N/A	N/A;N/A	N/A	N/A	RecName: Full=Protein VdlD [Helicobacter pylori 26695]<>RecName: Full=Protein VdlD [Helicobacter pylori J99]
kefB	sp|P39830.2|	3.20e-45	33.075	RecName: Full=Putative cation/proton antiporter YbaL [Escherichia coli K-12]	83333	N/A	N/A	N/A	N/A	RecName: Full=Putative cation/proton antiporter YbaL [Escherichia coli K-12]
group_1974	sp|Q09TK7.2|	8.7	26.562	RecName: Full=Serine protease inhibitor Kazal-type 11; Flags: Precursor [Mus musculus]	10090	N/A	N/A	N/A	N/A	RecName: Full=Serine protease inhibitor Kazal-type 11; Flags: Precursor [Mus musculus]
uvrD	sp|P03018.1|	0.0	62.797	RecName: Full=DNA helicase II; AltName: Full=DNA 3'-5' helicase II [Escherichia coli K-12]	83333	N/A	N/A	N/A	N/A	RecName: Full=DNA helicase II; AltName: Full=DNA 3'-5' helicase II [Escherichia coli K-12]
hexR_1	sp|Q88P32.1|	8.19e-70	43.939	RecName: Full=HTH-type transcriptional regulator HexR [Pseudomonas putida KT2440]	160488	N/A	N/A	N/A	N/A	RecName: Full=HTH-type transcriptional regulator HexR [Pseudomonas putida KT2440]
group_2720	sp|O87693.1|	0.026	35.185	RecName: Full=Cobalt-precorrin-5B C(1)-methyltransferase; AltName: Full=Cobalt-precorrin-6A synthase [Priestia megaterium]	1404	N/A	N/A	N/A	N/A	RecName: Full=Cobalt-precorrin-5B C(1)-methyltransferase; AltName: Full=Cobalt-precorrin-6A synthase [Priestia megaterium]
cmpR_1	sp|Q5N5I5.1|	5.76e-78	40.333	RecName: Full=HTH-type transcriptional activator CmpR [Synechococcus elongatus PCC 6301]	1140;269084	N/A;N/A	N/A;N/A	N/A	N/A	RecName: Full=HTH-type transcriptional activator CmpR [Synechococcus elongatus PCC 6301]<>RecName: Full=HTH-type transcriptional activator CmpR [Synechococcus elongatus PCC 7942 = FACHB-805]
cfiB	sp|D3DJ42.1|	4.82e-176	54.705	RecName: Full=2-oxoglutarate carboxylase small subunit; AltName: Full=2-oxoglutarate carboxylase beta subunit [Hydrogenobacter thermophilus TK-6]	608538	N/A	N/A	N/A	N/A	RecName: Full=2-oxoglutarate carboxylase small subunit; AltName: Full=2-oxoglutarate carboxylase beta subunit [Hydrogenobacter thermophilus TK-6]
oadA	sp|Q58628.1|	0.0	53.422	RecName: Full=Pyruvate carboxylase subunit B; AltName: Full=Pyruvic carboxylase B [Methanocaldococcus jannaschii DSM 2661]	243232	N/A	N/A	N/A	N/A	RecName: Full=Pyruvate carboxylase subunit B; AltName: Full=Pyruvic carboxylase B [Methanocaldococcus jannaschii DSM 2661]
group_433	sp|P09489.1|	2.67e-25	29.297	RecName: Full=Extracellular serine protease; Flags: Precursor [Serratia marcescens]	615	N/A	N/A	N/A	N/A	RecName: Full=Extracellular serine protease; Flags: Precursor [Serratia marcescens]
group_45	sp|P09489.1|	1.88e-44	32.151	RecName: Full=Extracellular serine protease; Flags: Precursor [Serratia marcescens]	615	N/A	N/A	N/A	N/A	RecName: Full=Extracellular serine protease; Flags: Precursor [Serratia marcescens]
group_2414	sp|Q8RWZ7.1|	0.039	33.333	RecName: Full=V-type proton ATPase subunit a1; Short=V-ATPase subunit a1; AltName: Full=V-type proton ATPase 95 kDa subunit a isoform 1; Short=V-ATPase 95 kDa isoform a1; AltName: Full=Vacuolar H(+)-ATPase subunit a isoform 1; AltName: Full=Vacuolar proton pump subunit a1; AltName: Full=Vacuolar proton translocating ATPase 95 kDa subunit a isoform 1 [Arabidopsis thaliana]	3702	N/A	N/A	N/A	N/A	RecName: Full=V-type proton ATPase subunit a1; Short=V-ATPase subunit a1; AltName: Full=V-type proton ATPase 95 kDa subunit a isoform 1; Short=V-ATPase 95 kDa isoform a1; AltName: Full=Vacuolar H(+)-ATPase subunit a isoform 1; AltName: Full=Vacuolar proton pump subunit a1; AltName: Full=Vacuolar proton translocating ATPase 95 kDa subunit a isoform 1 [Arabidopsis thaliana]
